ProbeID,GSM946048,GSM946049,GSM946052
cg00075967,0.871496779,0.843243174,0.762127635
cg00091693,0.69328495,0.694858048,0.809986223
cg00168942,0.840536666,0.854708032,0.691716053
cg00374717,0.875478087,0.828549677,0.916142929
cg00431549,0.589349992,0.560587705,0.426273344
cg00436603,0.714616849,0.719812607,0.712411934
cg00864867,0.056282534,0.055293896,0.042867467
cg00945507,0.117422972,0.116064281,0.144891767
cg01027739,0.034759781,0.033211751,0.0237285
cg01027805,0.040952785,0.047850395,0.042916954
cg01234063,0.022271809,0.025014963,0.024462434
cg01262913,0.062456245,0.069567624,0.099441771
cg01353448,0.539170165,0.544537843,0.42005381
cg01407797,0.071548318,0.061645275,0.066944217
cg01459453,0.897436312,0.872024271,0.883328259
cg01485645,0.109221511,0.114821832,0.122973942
cg01511567,0.04741163,0.047681742,0.05971206
cg01560871,0.947576421,0.945929038,0.935295948
cg01570885,0.502928091,0.499701819,0.48915544
cg01584473,0.870573709,0.864777869,0.880547241
cg01644850,0.094760829,0.102245136,0.038069758
cg01656216,0.56503529,0.58023956,0.63331896
cg01820374,0.727534776,0.689910986,0.661252304
cg01873645,0.027172232,0.031360819,0.027018638
cg01968178,0.086275323,0.072731892,0.049767187
cg02047577,0.01146461,0.014685145,0.013787156
cg02071305,0.122705452,0.117770337,0.134536479
cg02085507,0.841964998,0.726266455,0.74662265
cg02154074,0.021868864,0.016230626,0.022144342
cg02217159,0.055172712,0.042085119,0.043253066
cg02275294,0.016626459,0.027065512,0.017757553
cg02331561,0.067808265,0.020818256,0.028578415
cg02332492,0.944889993,0.940293211,0.927877112
cg02335441,0.060011232,0.039542061,0.06095361
cg02364642,0.060858696,0.062222961,0.052365707
cg02388150,0.254573218,0.31060563,0.286991379
cg02479575,0.04224384,0.035127909,0.022888049
cg02489552,0.165963919,0.150521399,0.193765004
cg02580606,0.895488326,0.903236305,0.919068272
cg02654291,0.099361836,0.090319247,0.098754211
cg02827112,0.050966901,0.049321113,0.043669521
cg02972551,0.059515986,0.044937308,0.051666346
cg03019000,0.849559777,0.829416946,0.820695798
cg03103192,0.731041921,0.725355572,0.75567676
cg03167275,0.043560007,0.045481442,0.046039129
cg03270204,0.852349115,0.806594844,0.764992539
cg03286783,0.05899628,0.056773002,0.047904312
cg03330058,0.508959599,0.560832542,0.561642854
cg03565323,0.043222614,0.037433675,0.065755869
cg03578041,0.102068264,0.096854031,0.192902911
cg03588357,0.040687686,0.03516679,0.040225331
cg03682823,0.527417583,0.505376137,0.50206755
cg03760483,0.747196624,0.682328434,0.552698798
cg03891319,0.05259162,0.045423781,0.063657397
cg03947362,0.016809037,0.012367277,0.014568055
cg04005032,0.031065782,0.027754791,0.023993173
cg04084157,0.126228638,0.082409579,0.071754762
cg04094160,0.022517269,0.031318585,0.027487311
cg04121983,0.107910225,0.083744809,0.124231548
cg04126866,0.880742808,0.861110617,0.886287982
cg04268405,0.843653142,0.82521605,0.699093299
cg04431054,0.029531547,0.045045169,0.102822078
cg04452713,0.087463853,0.100196574,0.136810789
cg04474832,0.3631694,0.355342321,0.419823424
cg04528819,0.101879767,0.055141997,0.044027503
cg04836038,0.112133775,0.051480974,0.065351365
cg04999691,0.329275546,0.329514855,0.526786565
cg05250458,0.158367764,0.10302378,0.139270758
cg05294243,0.202598803,0.226776839,0.278127765
cg05365729,0.458602846,0.409290975,0.492006418
cg05442902,0.155244318,0.157541275,0.220177329
cg05590257,0.098298836,0.309275619,0.132673788
cg05675373,0.158658144,0.131528746,0.128173914
cg05755779,0.898692938,0.868324391,0.872262808
cg05847778,0.01027611,0.011460456,0.013988922
cg05903609,0.057623524,0.062697895,0.07148881
cg05921699,0.90209854,0.910381595,0.920099637
cg05960024,0.957594072,0.93545635,0.938011303
cg06044899,0.634472519,0.610646769,0.634293281
cg06117855,0.310503382,0.240216429,0.349501186
cg06121469,0.054341398,0.033395882,0.085886893
cg06144905,0.562109731,0.446984812,0.426411246
cg06361108,0.023143617,0.02249003,0.016222304
cg06462291,0.13589961,0.072466783,0.073156386
cg06493994,0.065921492,0.048484902,0.044590069
cg06513075,0.021290881,0.01711609,0.024395009
cg06557358,0.022268258,0.013781682,0.023663947
cg06688848,0.016669685,0.022890459,0.018598293
cg06738602,0.075319031,0.089932023,0.080246273
cg06810647,0.26170685,0.25853181,0.134468096
cg06836772,0.273313513,0.276896926,0.126508376
cg06926735,0.015919489,0.022035342,0.014583974
